title,link,image,author,price,discount,publisher,pubdate,isbn,description
<b>열두 발자국</b> (생각의 모험으로 지성의 숲으로 지도 밖의 세계로 이끄는 <b>열두</b> 번의 강의),http://book.naver.com/bookdb/book_detail.php?bid=13718478,https://bookthumb-phinf.pstatic.net/cover/137/184/13718478.jpg?type=m1&udate=20210915,정재승,16800,15120,어크로스,20180702,116056051X 9791160560510,"바뀌는 <b>열두</b> 번의 놀라운 경험
경계를 넘어 새로운 생각의 우주로 안내하는 최고의 지식 콘서트정재승의 강연은 가보지 않았던 새로운 생각의 숲으로 이끄는 <b>발자국</b>이다. 그의 <b>발자국</b>을 따라 들어간 숲에서 청중들은 ‘과학 지식이 삶과 세상에 대한 통찰과 지혜로 바뀌는 경험’을 하게 된다. 대한민국의... "
<b>공부머리 독서법</b> (실현 가능하고 지속 가능한 <b>독서</b>교육의 모든 것),http://book.naver.com/bookdb/book_detail.php?bid=13513128,https://bookthumb-phinf.pstatic.net/cover/135/131/13513128.jpg?type=m1&udate=20211230,최승필,16500,14850,책구루,20180503,1196316805 9791196316808,"전국을 누비며 독서 강연을 하는 독서교육 전문가이자 어린이책 작가, 공독쌤 최승필이 12년 동안 아이들과 함께 독서 논술 수업을 해오며 축적한 노하우를 집약한 독서교육 지침서 『<b>공부머리 독서법</b>』. 학부모들로부터 매일같이 “어떻게 하면 우리 아이를 책 잘 읽는 아이로 키울 수 있나요?”라는..."
<b>하마터면 열심히 살 뻔했다</b> (야매 득도 에세이),http://book.naver.com/bookdb/book_detail.php?bid=13549262,https://bookthumb-phinf.pstatic.net/cover/135/492/13549262.jpg?type=m1&udate=20220112,하완,15000,13500,웅진지식하우스,20180423,8901223031 9788901223032,"그래서 어차피 인생 매뉴얼에서 멀어진 김에 자신만의 길을 찾기로 했고, 극약 처방으로 회사를 그만두었다. 『<b>하마터면 열심히 살 뻔했다</b>』에서 내 인생을 살기 위해 더 이상 열심히 살지 않기로 결심한 저자의 실험에 대한 담담하고 솔직하고 진지한 고민을 만나볼 수 있다."
<b>여행의 이유</b> (김영하 산문),http://book.naver.com/bookdb/book_detail.php?bid=14740358,https://bookthumb-phinf.pstatic.net/cover/147/403/14740358.jpg?type=m1&udate=20220101,김영하,13500,12150,문학동네,20190417,8954655971 9788954655972,"여행이 내 인생이었고, 인생이 곧 여행이었다!여행의 감각을 일깨우는 소설가 김영하의 매혹적인 이야기 『<b>여행의 이유</b>』. 꽤 오래전부터 여행에 대해 쓰고 싶었던 저자가 처음 여행을 떠났던 순간부터 최근의 여행까지 자신의 모든 여행의 경험을 담아 써내려간 아홉 개의 이야기를 담은 책이다. 지나온 삶에서... "
"<b>걷는 사람, 하정우</b>",http://book.naver.com/bookdb/book_detail.php?bid=14257616,https://bookthumb-phinf.pstatic.net/cover/142/576/14257616.jpg?type=m1&udate=20220101,하정우,15500,13950,문학동네,20181123,8954653812 9788954653817,"걷고 또 걷는 배우 그리고 자연인 하정우의 발자국!하루 3만 보씩 걷고, 심지어 하루 10만 보까지도 기록한 적 있는 유별난 걷기 마니아로 알려진 배우 하정우의 에세이 『<b>걷는 사람, 하정우</b>』. 강남에서 홍대까지 편도 1만 6천 보 정도면 간다며 거침없이 서울을 걸어 다니고, 심지어 비행기를 타러 강남에서... "
"<b>아가씨와 밤</b> (La Jeune Fille et la Nuit,기욤 뮈소 장편소설)",http://book.naver.com/bookdb/book_detail.php?bid=14203371,https://bookthumb-phinf.pstatic.net/cover/142/033/14203371.jpg?type=m1&udate=20181212,기욤 뮈소,14500,13050,밝은세상,20181126,8984373613 9788984373617,"사랑이라는 이름으로 포장된 뒤틀린 욕망을 그리다!끊임없이 변신을 모색해온 작가 기욤 뮈소가 한국에서 15번째로 출간하는 장편소설 『<b>아가씨와 밤</b>』. 판타지, 로맨스, 스릴러가 복합적으로 가미된 소설을 써오다가 근래 들어 스릴러의 비중을 높인 저자가 선보이는 이번 소설은 판타지적인 요소는 없지만... "
<b>오직 두 사람</b> (김영하 소설),http://book.naver.com/bookdb/book_detail.php?bid=12071674,https://bookthumb-phinf.pstatic.net/cover/120/716/12071674.jpg?type=m1&udate=20211229,김영하,13000,11700,문학동네,20170525,8954645615 9788954645614,"모두 잃으며 살아가는 우리에게 김영하가 전하는 일곱 편의 이야기!《무슨 일이 일어났는지 아무도》 이후 7년 만에 펴낸 김영하의 소설집 『<b>오직 두 사람</b>』. 다채로운 스펙트럼으로 한국문학의 지평을 확장해온, 이른바 ‘김영하 스타일’이 총망라된 작품집이다. 무언가를 상실한 사람들, 그리고 상실 이후의... "
<b>고요할수록 밝아지는 것들</b> (혜민 스님과 함께 지혜와 평온으로 가는 길),http://book.naver.com/bookdb/book_detail.php?bid=14254551,https://bookthumb-phinf.pstatic.net/cover/142/545/14254551.jpg?type=m1&udate=20220101,혜민,15000,13500,수오서재,20181206,1187498386 9791187498384,"자신을 돌아보는 계기를 마련해준 《멈추면, 비로소 보이는 것들》, 나와 타인과 세상에 대한 깊은 이해를 선사한 《완벽하지 않은 것들에 대한 사랑》으로 독자들의 많은 사랑을 받은 혜민 스님이 3년 만에 펴낸 신작 에세이 『<b>고요할수록 밝아지는 것들</b>』. 마음돌봄 3부작의 완성이라고 할 수 있는 책으로... "
<b>소년이 온다</b> (한강 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=7615129,https://bookthumb-phinf.pstatic.net/cover/076/151/07615129.jpg?type=m1&udate=20220226,한강,14000,12600,창비,20140519,8936434128 9788936434120,고통스럽게 되살려낸 5월 광주한국인 최초 맨부커상 수상작가 한강의 여섯 번째 장편소설 『<b>소년이 온다</b>』. 1980년 5월 18일부터 열흘간 있었던 광주민주화운동 당시의 상황과 그 이후 남겨진 사람들의 이야기를 들려주는 소설이다. 2013년 11월부터 2014년 1월까지 창비문학블로그 ‘창문’에서 연재했던... 
<b>미움받을 용기</b> 2 (사랑과 진정한 자립에 대한 아들러의 가르침),http://book.naver.com/bookdb/book_detail.php?bid=10462578,https://bookthumb-phinf.pstatic.net/cover/104/625/10462578.jpg?type=m1&udate=20170914,기시미 이치로|고가 후미타케,14900,13410,인플루엔셜,20160502,1186560126 9791186560129,"역대 최장기간 베스트셀러 1위, 문화계 파워 100인이 선정한 2015년 올해의 책, 네이버 2015년 검색어 책 분야 1위 등 2015년을 ‘아들러’와 ‘용기’ 열풍으로 물들인 『<b>미움받을 용기</b>』가 더 새롭고, 더 강렬하게 돌아왔다.『<b>미움받을 용기</b> 2』는 ‘용기 2부작’의 완성편으로 ‘행복으로 가는 길’을 제시했던... "
