,영화명,유형,장르,제작년도,감독,출연,줄거리
50525,마약 운반원,극영화,드라마,2016.0,가이 쉘머딘,,"VR영화,단편영화,체험,가상체험,마약운반"
50527,아메리칸 레슬러: 더 위저드,극영화,드라마,2016.0,알렉스 라나리벨로,브라이언 루드닉,"레슬링,따돌림,차별"
50528,엘로이즈,극영화,"공포,미스터리,스릴러",2017.0,로버트 르가토,크리스토퍼 보렐리,"유산상속,폐쇄병원,정신병원"
50529,더 빌리지,극영화,공포,2018.0,압델하미드 부크낙,압델하미드 부크낙,"오컬트,마녀"
50531,버티고,극영화,"드라마,멜로/로맨스",2018.0,전계수,전계수,"청소부,고층빌딩,현기증,사무실,직장인,30대"
50535,메이드는 사형인가요,애니메이션,어드벤처,2017.0,"이은주,한수희,홍예은",,"공주,별,명령"
50536,"안녕, 루키",애니메이션,아동,2013.0,이동욱,이동욱,"강아지,죽음"
50538,아무도 모른다,극영화,드라마,2013.0,,,"폭탄,왕따"
50539,빽,극영화,액션,2004.0,김성수,,"세상,사내,반대,사회부적응자,위험,인물,삭제"
50540,모래귀신,애니메이션,어드벤처,2017.0,박경효,,"자유,이미지형상화"
50541,아버지씨,다큐멘터리,"가족,인물",2013.0,김현수,,"부모이혼,명의,아버지"
50542,모든 날의 촛불,다큐멘터리,"역사,사회",2017.0,"김환태,최종호,김수목",,"시민,거리,대통령,파면,승리,민주주의,일상,광장"
50545,나 홀로 집에,다큐멘터리,인권,2007.0,정해선,,"장애인,장애인권"
50546,플래시백,극영화,드라마,2008.0,안슬기,,"소통,영화감독"
50547,여정,다큐멘터리,인권,2007.0,송호천,,"장애인,장애인권,하반신장애"
50548,피쉬,애니메이션,드라마,2008.0,박신애,,불가능한 사랑
50549,지옥행,애니메이션,드라마,2008.0,구본형,,"지옥,추격전"
50552,프롬 더 어스,애니메이션,"SF,판타지,드라마",2017.0,장형윤,,"VR영화,우주,가상체험,외계인,시공간"
50553,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,극영화,"코메디,드라마",2018.0,배기원,배기원,"영화제작과정,영화감독,생활고,열정,창작의고통,단편영화,칸영화제"
50557,배심원들,극영화,드라마,2019.0,홍승완,홍승완(차성덕),"살해혐의,국민참여재판,배심원,살해사건,심판,실화바탕,존속살해범,기초수급자,부녀지간,의수,화상,임대아파트,재현,증언"
50561,쎈놈,극영화,액션,2019.0,김유진,김유진,"격투기,도박장,불법격투기,빚,복수극,형제"
50565,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅱ 카케루x조지x미나토,애니메이션,,2019.0,히시다 마사카즈,,"프리즘쇼,피겨스케이트,노래,댄스,스타,슈퍼스타,하이틴스타,소년"
50569,당신의 영원,애니메이션,드라마,2012.0,이은혜,이은혜,"부재,존재감,새소리,작별,할머니"
50571,플레이 위드 미,애니메이션,"드라마,코메디",2005.0,김제균,,"컴퓨터,작업,한 남자,음악,춤,피규어"
50572,썬크림,극영화,코메디,2013.0,유승조,,"영화인,창작"
50573,인형의 꿈,애니메이션,드라마,2005.0,유성재,,"길거리,인형,뽑기,기계,주인공,사랑,연민,탈출"
50574,더 재즈 쿼텟,극영화,드라마,2012.0,유대얼,,"재즈,재즈밴드,기념일,카페,고난,하루"
50575,물음표야 어딨니?,애니메이션,드라마,2017.0,"김예린,유예린,조민경",,"스마트폰,가족,대화,밥,정체불명,소중함"
50578,쑥대머리,뮤직비디오,뮤직,2016.0,한재호,,"판소리,할아버지,할머니"
50579,당신이어서 고마워요,극영화,드라마,2017.0,스즈키 코스케,"야마쿠니 히데유키,후지무라 마미야","요양사,치매노인,의사소통,성장영화,사회복지사,요양원,진정한우정"
50584,사랑받는 여자,극영화,드라마,2016.0,조현용,,"여성,아름다움,외모,보정"
50591,달리기,극영화,,2015.0,이대영,이대영,"탈북청소년,탈북민,탈북"
50594,컨덕트,극영화,"공포,판타지,드라마",2018.0,일리야 막시모프,"안나 쿠르바토바,알렉산드르 토푸리야","특수능력,연쇄살인범,가족의죽음"
50596,허니,극영화,"멜로드라마,코메디",2018.0,신토쿠 코지,야마오카 준페이,"학원물,고등학생,사랑과우정,여고생,겁쟁이,문제아,신입생,프로포즈"
50599,너의 목소리,애니메이션,"코메디,판타지,드라마",2017.0,이토 나오유키,이시카와 마나부,"성장영화,진정한우정,십대소녀,라디오,정령,신앙,새로운 꿈"
50604,성우이용원,다큐멘터리,드라마,2016.0,이동주,,"이발소,이발사"
50605,트러스트,극영화,스릴러,2010.0,데이빗 쉼머,,",10대,소녀,채팅,SNS"
50607,선잠,극영화,드라마,2016.0,서보형,,"오랜연인,잠,말다툼"
50610,악인전,극영화,"범죄,액션",2019.0,이원태,이원태,"연쇄살인마,조직폭력배,강력반형사,추적,악인,표적,범인"
50611,세이버,극영화,드라마,2016.0,"곽새미,박용재",,"소방공무원,심정지,응급구조"
50614,T-34,극영화,"액션,전쟁",2018.0,알렉세이 시도로프,알렉세이 시도로프,"러시아,독일,탱크,러시아군,독일군,포로"
50621,로지,극영화,드라마,2018.0,패디 브레스나크,로드 도일,"보금자리,현실의벽,삶과 현실,가족보호,가족애,가족부양,집"
50622,언더 더 씨2,애니메이션,,2017.0,에반 트라멜,리사 바겟,"산호초,물고기,신입생,현장학습,침몰선,전설,바다괴물,해저탐험"
50623,가장 보통의 연애,극영화,"멜로/로맨스,코메디",2019.0,김한결,김한결,"사내연애,주사,카카오톡,회식,광고회사,직장동료,미련,전여친,전남친,연애,연애담,현실연애,사랑,사랑의상처,로맨틱코미디"
50624,매트리악,극영화,"공포,스릴러",2018.0,스콧 비커스,"스콧 비커스,앨런 쿠스버트,스티븐 리틀","임산부,부부,낯선 곳,감금,탈출,외딴집"
50625,우리 지금 만나,극영화,드라마,2018.0,"김서윤,강이관,부지영","김서윤,강이관,부지영","남북분단,남북통일,단편모음,옴니버스영화"
50631,하나님과의 인터뷰,극영화,"드라마,미스터리",2018.0,페리 랑,켄 아구아도,"인생구원,인터뷰,흔들리는삶,신앙,종군기자"
50633,이제 난 용감해질거야,극영화,,2010.0,"장건재,임철민,김성철,이종필,기채생,채기,신수원,최아름,정지연,김종찬,박종빈,박재평,이진우,신이수,김민경,장훈",,"자생,인디포럼,독립영화,옴니버스영화"
50639,런던 타겟,극영화,액션,2018.0,"아담 콜린스,루크 래드포드",,"복수,테러,전직특수부대요원,부패정치인,거대조직"
50642,성주,극영화,드라마,2016.0,황장우,,"욕실,아버지,스승,제자"
50643,소녀상의 그림자가 된 사람들,다큐멘터리,인권,2016.0,우성하,,"소녀상,위안부,대학생,기억"
50646,메기의 추억,극영화,드라마,2019.0,김문옥,김문옥,"버려진노인,독거노인,노년의사랑,생계유지,치매노인,황혼커플"
50650,토막살인범의 고백,극영화,"드라마,스릴러",2018.0,리누스 드 파올리,"리누스 드 파올리,안나 드 파올리","히키코모리,은둔형외톨이,우발적살인,살인은폐,토막살인"
50653,부!,극영화,"드라마,공포,미스터리,스릴러",2019.0,루크 제이든,"루크 제이든,다이앤 미셸","저주,트라우마,환청,환영,가족,참전용사,편지"
50656,당신은 안드로이드입니까,극영화,SF,2019.0,유명상,유명상,"미래,미래시대,미래도시"
50667,신세기 낭만시대,극영화,"액션,스릴러",2013.0,주장,,"마법사,초능력자,대결"
50669,미안해하지 않았으면 좋겠어,극영화,멜로드라마,2017.0,이다연,,"레즈비언,소문,전학생,친구,커플,퀴어무비,동성애,LGBT,성소수자"
50670,동면의 소녀,극영화,"드라마,멜로/로맨스,판타지",2012.0,유영선,유영선,"남자친구,실종,메세지"
50672,시,다큐멘터리,지역,2013.0,윤이나,,"골목길,노숙"
50673,미화원,극영화,"드라마,액션,코메디",2017.0,김보원,김슬기,"은퇴,세상,청소,재능"
50675,반지의 비밀 일기,애니메이션,드라마,2017.0,임만식,,"평범,장난,매력,소녀,사랑,우정,친구,행복,남자친구,삶,상상력,이벤트"
50676,희망노인정,다큐멘터리,드라마,2016.0,허장휘,,"서울,노인정,당고개"
50677,행복한 사진사 이야기,다큐멘터리,"인물,드라마",2015.0,신영환,,"사진,무료,장수,봉사"
50678,일행,다큐멘터리,드라마,2017.0,문성권,,"노인,논길"
50682,언프리티 영미,다큐멘터리,인물,2018.0,이영미,,"외모컴플렉스,외모지상주의,쌍꺼풀,랩,랩퍼,자존감,자아실현"
50684,재밌거나 혹은 열받거나,다큐멘터리,사회,2008.0,"이나라,김교학,김진영",,촛불집회
50689,산책의 즐거움,극영화,드라마,2016.0,박성림,,"회사,산책"
50691,산나물 처녀,극영화,드라마,2016.0,김초희,김초희,"지구,정착,사슴,소원"
50693,선물,극영화,드라마,2016.0,강찬화,,"세탁소,손님,반지"
50697,서른,다큐멘터리,드라마,2016.0,이혜린,,"커리어우먼,방송국,PD,불안"
50698,밀라,극영화,드라마,2017.0,발레리 마사디안,발레리 마사디안,"10대소녀,삶,현실"
50699,말레피센트 2,극영화,"판타지,어드벤처,가족",2019.0,요아킴 뢰닝,"미카 피처맨-블루,노아 하프스터,린다 울버튼","어둠,요정,숲,수호"
50702,반성이 반성을 반성하지 않는 것처럼,극영화,"멜로드라마,실험",2017.0,송주원,,"친구,남자,마음,꽃미남,소년,선배,동호회,관심,기회,선,기억상실,사랑고백,스토커,사기극,우정,삼각관계"
50703,반성이 반성을 반성하지 않는 것처럼,극영화,"멜로드라마,실험",2017.0,송주원,,"친구,남자,마음,꽃미남,소년,선배,동호회,관심,기회,선,기억상실,사랑고백,스토커,사기극,우정,삼각관계"
50704,백남준과 요셉 보이스의 거북이,실험영화,실험,2017.0,이광기,,"그룹,작품,거북이,도면,교차"
50705,프로비넌스,극영화,"드라마,멜로드라마",2017.0,벤 헤킹,벤 헤킹,"피아니스트,새로운사랑,운명적사랑"
50707,메이데이,극영화,액션,2018.0,마시밀리아노 서치,롭 스미스,"비행기,악령퇴치,악령"
50708,드라이버,극영화,드라마,2006.0,김종관,김종관,"남자,세상,구멍,기분전환,폭력성"
50709,쓰키지 원더랜드,다큐멘터리,"사회,지역",2016.0,엔도 나오타로,엔도 나오타로,"전통시장,수산시장,유네스코,무형문화재,일본배경,수산물,상인,어시장"
50710,소년,극영화,드라마,2013.0,정대현,,"낙태,무책임,고등학생"
50711,더 캐쳐 워즈 어 스파이,극영화,"드라마,전쟁",2018.0,벤 루윈,로버트 로댓,"메이저리그,야구선수,야구천재,국제스파이,제2차세계대전,원자폭탄,실화바탕,베스트셀러원작"
50712,밝은 미래,극영화,드라마,2017.0,허정재,허정재,"회사원,알바생,동정,방향,사장"
50714,잠수사,다큐멘터리,인물,2017.0,박종필,,"민간잠수사,시신,트라우마,세월호참사,진상규명,명예회복"
50715,정화된 밤,극영화,드라마,2017.0,박현영,,"죽음,옛동네"
50717,조또마떼 사요나라 오지짱,극영화,"뮤지컬,드라마",2017.0,김종철,,"코스프레,옛동료,결혼,평범한삶"
50719,종이 먹는 아이,극영화,드라마,2017.0,장서윤,,"그림,종이,엄마와아들"
50724,성장이야기,극영화,드라마,2016.0,문준원,,"친구,키,내기"
50730,마멀레이드 보이,극영화,멜로드라마,2018.0,히로키 류이치,아사노 타에코,"쉐어하우스,로맨스,만화원작,비밀연애,재혼가정,첫사랑,동급생,이복남매"
50740,스윈들러,극영화,"코메디,드라마,범죄",2019.0,이동환,이동환(이동환),"신부,가짜행세,구마의식,사기극"
50742,파란유리새,애니메이션,뮤직,2006.0,정지숙,정지숙,"돈,명예,돈과명예,수단,삶,목표,현대인,순수,여유"
50743,베스트 파트너 에버,애니메이션,"판타지,액션,가족",2017.0,서희,,"꼬마,마녀,성격,강아지,파트너,사고,갈등,협력"
50745,베데스다 가는 길,극영화,드라마,2017.0,박안드레,,"성경,예수,중풍,환자,치유,연못,기적,믿음,우화,장애인,여정,희망,삶,여행,자연"
50746,새벽에 배달된 우유,극영화,드라마,2013.0,백지영,,"일상,새벽"
50747,접촉불량,극영화,드라마,2006.0,김해민,,"TV,이미지,미디어,비디오,작품"
50749,상냥한 쪽으로,극영화,드라마,2013.0,정재훈,정재훈,"산,연인"
50751,맞선,애니메이션,"SF,판타지",2012.0,수경,수경,"맞선,외계인,인간,멸종 위기"
50752,모든 것을 잃기 전에,극영화,"드라마,가족",2012.0,자비에르 르그랑,자비에르 르그랑,"분노조절장애,가정폭력,가족폭력,폭력적인 아버지,폭력남편"
50753,중2병,극영화,드라마,2017.0,박희태,,"물놀이,감염,성장"
50754,600 결사대,극영화,"액션,전쟁",2017.0,"유희,한평",,"상해전투,실화바탕,중일전쟁,최정예요원,군부대,일본군,시가전"
50755,지수의 11분,극영화,드라마,2017.0,윤병석,,"분노,성정체성,근본적인 문제"
50756,북 클럽,극영화,"코메디,멜로드라마,드라마",2018.0,빌 홀더맨,"빌 홀더맨,에린 심스","우정,북클럽,책,인생의전환점"
50768,글로리아 벨,극영화,"드라마,멜로드라마",2018.0,세바스찬 렐리오,세바스찬 렐리오,"리메이크,운명적사랑,꿈과현실,현실의벽,삶과 현실,여자의 행복,영화원작,이혼,중년여자,새로운사랑"
50774,내일의 노래,다큐멘터리,인권,2014.0,양주연,,"노동조합,청소노동자"
50775,내일의 노래,다큐멘터리,인권,2014.0,양주연,,"노동조합,청소노동자"
50777,도검난무: 계승,극영화,"액션,시대극/사극,SF,판타지",2019.0,야쿠모 사이지,코바야시 야스코,"근미래,역사,시간여행,전투"
50779,비스트,극영화,"범죄,액션,스릴러",2019.0,이정호,"이정호,정의목","범죄액션,살인사건,담당형사,강력계형사,사건은폐,비리경찰,강력반형사,브로커,마약딜러,단서"
50780,엑시트,극영화,"액션,코메디",2018.0,이상근,이상근,"청년백수,재난,칠순생일,후배,유독가스,탈출,테러,도심,산악등반,화학무기,구조요청,드론,방독면"
50781,명탐정 코난: 감청의 권,애니메이션,"미스터리,스릴러,어드벤처",2019.0,나카오카 토모카,오쿠라 타카히로,"명탐정,코난,해적선,사파이어,보물,살인사건,괴도,함정,싱가포르,극장판,만화원작"
50782,우리집,극영화,"드라마,가족",2019.0,윤가은,윤가은,"가족,단짝친구,삼총사,아이들,집,가정,가난"
50786,사냥,다큐멘터리,자연ㆍ환경,2013.0,김영조,,"멧돼지,포수,리얼리티쇼"
50788,물의 행방,극영화,"드라마,가족,코메디",2012.0,이태훈,이태훈,"물,수난시대,현대판"
50789,오늘 밤이 지나가면,극영화,멜로드라마,2016.0,정해일,정해일,"결혼,전여자친구,정리"
50790,프리버드,극영화,멜로드라마,2017.0,홍유정,,"감정,사랑,로맨스"
50791,날아라 할배,극영화,드라마,2017.0,권순형,,"시골,비행기,노인"
50792,생각이 나서.,극영화,드라마,2018.0,김현승,,"사진작가,모델,애인"
50793,숨비소리,극영화,드라마,2017.0,채리라,,"제주도,중국여인,시어머니,과부"
50794,스틸라이프,극영화,드라마,2017.0,김정현,,"남자,과거,전화"
50798,다니엘 이즌 리얼,극영화,"스릴러,공포",2019.0,아담 이집트 모티머,"브라이언 델리우,아담 이집트 모티머","다중인격,정신분열,총기사건,상상 속 친구,트라우마"
50800,드래그,극영화,"액션,범죄,드라마,미스터리,스릴러",2018.0,S.크레이그 찰러,S.크레이그 찰러,"형사,마약거래,은행강도"
50811,더하우스,극영화,"스릴러,미스터리,공포",2019.0,박균이,박균이,"출산,별장,첫사랑,낯선사람"
50815,밤의 문이 열린다,극영화,"드라마,판타지,가족,미스터리,공포",2018.0,유은정,유은정,"유령,의식불명,거꾸로 가는 시간"
50816,손이 많이 가는 미미,극영화,드라마,2018.0,윤동기,,"인턴,정략결혼"
50817,까치까치 설날은,극영화,"드라마,가족",2018.0,이윤화,이윤화,"명절,가족,설날"
50818,십자인대,극영화,"코메디,판타지",2018.0,김유준,김유준,"군대,군입대"
50819,뱃속이 무거워서 꺼내야 했어,애니메이션,"실험,가족,드라마",2018.0,조한나?,,"모녀,과거,가족갈등,다큐멘터리"
50823,"쓰리, 고",다큐멘터리,인물,2017.0,이준섭,,"고3,세친구,셀프다큐,고등학생"
50824,과부 마녀,극영화,드라마,2018.0,차이 청지에,차이 청지에,"무당,과부,악령퇴치"
50844,돈크라이스노우비,애니메이션,드라마,2016.0,델픽스튜디오,,"기후,환경오염,북극"
50845,마운틴 플레인 마운틴,다큐멘터리,"스포츠,지역",2018.0,"아라키 유,다니엘 자코비","아라키 유,다니엘 자코비",경주마
50857,투모로우 2019: 지구 대 빙하기,극영화,"SF,액션",2018.0,닉 보터스,닉 보터스,"돌연변이,빙하기,바이러스,안식처"
50873,틴 스피릿,극영화,"드라마,뮤직",2018.0,맥스 밍겔라,맥스 밍겔라,"시골소녀,노래,가수,오디션프로그램,팝스타,뮤직드라마,꿈,열정"
50876,정복의 신 징기즈칸,극영화,"액션,어드벤처,전쟁",2018.0,차오루 하쓰,,"소년,징기스칸,정복,정복자,성장"
50892,히말라마존,애니메이션,"자연ㆍ환경,지역",2002.0,김홍식,,"입체영화,3D영화"
50893,양자물리학,극영화,범죄,2019.0,이성태,"이성태(이창훈(윤색),이규섭(윤색),조사무엘(윤색))","마약,클럽,연예인,부패권력"
50896,스파이더맨: 파 프롬 홈,극영화,"어드벤처,코메디,SF,액션,판타지",2019.0,존 왓츠,"크리스 맥케나,에릭 소머즈","어벤져스,새로운 시작,스파이더맨,유럽여행,정체불명,조력자,빌런 히어로"
50897,폴라로이드,극영화,공포,2019.0,라스 클리브버그,블레어 버틀러,"죽음,순서,폴라로이드카메라,고등학생,인증사진"
50906,하트스톤,극영화,드라마,2016.0,구두문두르 아르나르 구드문드손,구두문두르 아르나르 구드문드손,"아이슬란드,바닷마을,소년들,퀴어무비,동성애,여름,성장영화,경험담,자아,형제애"
50908,스몰풋,애니메이션,"코메디,가족,판타지,어드벤처,뮤지컬",2018.0,"캐리 커크패트릭,제이슨 레이직","글렌 피카라,세르지오 파블로스,존 레쿠아,캐리 커크패트릭","설인,빅풋,새로운 세계,친구,인간,미지의존재,동화원작,신화,히말라야"
50910,내안의 영화,극영화,옴니버스,2008.0,"임창재,유종미,안슬기,김권,윤지석,김경수",,옴니버스영화
50911,아빠는 예쁘다,극영화,"드라마,코메디,가족",2017.0,"박수민,김성국","차민애(차민애,박수민,김성국)","가족,개인적인 삶,중년남자,가장,여장남자,클럽"
50914,에일리언: 지구침공의 날,극영화,"SF,스릴러,드라마,액션",2018.0,"마이클 갤밴,세바스찬 바질",세바스찬 바질,"외계인침공,참전군인,트라우마,전쟁트라우마,외계생명체,지구침공,습격,가족보호,전직군인"
50916,잊혀진 역사 간도,TV-다큐멘터리,지역,2005.0,,,역사왜곡
50929,키드,극영화,드라마,2005.0,김세진,,"쌍둥이,동생,질식사,신앙,영혼,기도,생일,케이크,촛불,눈물,욕설,아빠,엄마"
50930,책을 읽거나 비둘기 모이주기,극영화,드라마,2005.0,정강우,,"강원도,산골,산장,휴가,폭설,한 남자,천사,시공간,캐릭터,비밀,사건,관계,위험,디지털영화"
50931,일진 3,극영화,액션,2018.0,이수성,"최용운(시나리오),이수성(시나리오)","학원물,학원느와르,마지막결투,마지막대결,일진,고교생,10대청소년,학교폭력"
50932,아라비아인과 낙타,다큐멘터리,"인물,가족",2013.0,심혜정,,"아줌마,재중동포,이주노동자"
50933,뭍으로 나온 물고기,극영화,멜로드라마,2017.0,표국청,,"소꿉친구,자살,고백,꿈,과거,회상,이유"
50934,문,극영화,드라마,2017.0,나황선,,"집,남자"
50935,무지개 약,극영화,드라마,2017.0,최주연,,"공부,약,부작용,어른들,칭찬"
50936,걸어서 세계속으로,TV-다큐멘터리,지역,2005.0,,,"여행,여행가이드"
